trips,timestamp
1023,2019-09-23 17:00:00.000000 +02:00
1276,2019-09-23 18:00:00.000000 +02:00
1026,2019-09-23 19:00:00.000000 +02:00
593,2019-09-23 20:00:00.000000 +02:00
469,2019-09-23 21:00:00.000000 +02:00
362,2019-09-23 22:00:00.000000 +02:00
231,2019-09-23 23:00:00.000000 +02:00
149,2019-09-24 00:00:00.000000 +02:00
91,2019-09-24 01:00:00.000000 +02:00
59,2019-09-24 02:00:00.000000 +02:00
23,2019-09-24 03:00:00.000000 +02:00
26,2019-09-24 04:00:00.000000 +02:00
42,2019-09-24 05:00:00.000000 +02:00
97,2019-09-24 06:00:00.000000 +02:00
431,2019-09-24 07:00:00.000000 +02:00
875,2019-09-24 08:00:00.000000 +02:00
758,2019-09-24 09:00:00.000000 +02:00
450,2019-09-24 10:00:00.000000 +02:00
416,2019-09-24 11:00:00.000000 +02:00
516,2019-09-24 12:00:00.000000 +02:00
546,2019-09-24 13:00:00.000000 +02:00
560,2019-09-24 14:00:00.000000 +02:00
667,2019-09-24 15:00:00.000000 +02:00
734,2019-09-24 16:00:00.000000 +02:00
1039,2019-09-24 17:00:00.000000 +02:00
1218,2019-09-24 18:00:00.000000 +02:00
1018,2019-09-24 19:00:00.000000 +02:00
642,2019-09-24 20:00:00.000000 +02:00
463,2019-09-24 21:00:00.000000 +02:00
388,2019-09-24 22:00:00.000000 +02:00
242,2019-09-24 23:00:00.000000 +02:00
146,2019-09-25 00:00:00.000000 +02:00
89,2019-09-25 01:00:00.000000 +02:00
53,2019-09-25 02:00:00.000000 +02:00
28,2019-09-25 03:00:00.000000 +02:00
15,2019-09-25 04:00:00.000000 +02:00
30,2019-09-25 05:00:00.000000 +02:00
118,2019-09-25 06:00:00.000000 +02:00
422,2019-09-25 07:00:00.000000 +02:00
920,2019-09-25 08:00:00.000000 +02:00
560,2019-09-25 09:00:00.000000 +02:00
205,2019-09-25 10:00:00.000000 +02:00
279,2019-09-25 11:00:00.000000 +02:00
475,2019-09-25 12:00:00.000000 +02:00
485,2019-09-25 13:00:00.000000 +02:00
496,2019-09-25 14:00:00.000000 +02:00
593,2019-09-25 15:00:00.000000 +02:00
625,2019-09-25 16:00:00.000000 +02:00
496,2019-09-25 17:00:00.000000 +02:00
841,2019-09-25 18:00:00.000000 +02:00
711,2019-09-25 19:00:00.000000 +02:00
528,2019-09-25 20:00:00.000000 +02:00
438,2019-09-25 21:00:00.000000 +02:00
339,2019-09-25 22:00:00.000000 +02:00
276,2019-09-25 23:00:00.000000 +02:00
173,2019-09-26 00:00:00.000000 +02:00
114,2019-09-26 01:00:00.000000 +02:00
76,2019-09-26 02:00:00.000000 +02:00
24,2019-09-26 03:00:00.000000 +02:00
24,2019-09-26 04:00:00.000000 +02:00
34,2019-09-26 05:00:00.000000 +02:00
24,2019-09-26 06:00:00.000000 +02:00
39,2019-09-26 07:00:00.000000 +02:00
55,2019-09-26 08:00:00.000000 +02:00
70,2019-09-26 09:00:00.000000 +02:00
85,2019-09-26 10:00:00.000000 +02:00
101,2019-09-26 11:00:00.000000 +02:00
116,2019-09-26 12:00:00.000000 +02:00
131,2019-09-26 13:00:00.000000 +02:00
146,2019-09-26 14:00:00.000000 +02:00
162,2019-09-26 15:00:00.000000 +02:00
177,2019-09-26 16:00:00.000000 +02:00
1172,2019-09-26 17:00:00.000000 +02:00
1295,2019-09-26 18:00:00.000000 +02:00
939,2019-09-26 19:00:00.000000 +02:00
600,2019-09-26 20:00:00.000000 +02:00
522,2019-09-26 21:00:00.000000 +02:00
337,2019-09-26 22:00:00.000000 +02:00
249,2019-09-26 23:00:00.000000 +02:00
193,2019-09-27 00:00:00.000000 +02:00
141,2019-09-27 01:00:00.000000 +02:00
92,2019-09-27 02:00:00.000000 +02:00
50,2019-09-27 03:00:00.000000 +02:00
36,2019-09-27 04:00:00.000000 +02:00
44,2019-09-27 05:00:00.000000 +02:00
81,2019-09-27 06:00:00.000000 +02:00
272,2019-09-27 07:00:00.000000 +02:00
514,2019-09-27 08:00:00.000000 +02:00
526,2019-09-27 09:00:00.000000 +02:00
232,2019-09-27 10:00:00.000000 +02:00
164,2019-09-27 11:00:00.000000 +02:00
194,2019-09-27 12:00:00.000000 +02:00
179,2019-09-27 13:00:00.000000 +02:00
277,2019-09-27 14:00:00.000000 +02:00
256,2019-09-27 15:00:00.000000 +02:00
166,2019-09-27 16:00:00.000000 +02:00
550,2019-09-27 17:00:00.000000 +02:00
799,2019-09-27 18:00:00.000000 +02:00
668,2019-09-27 19:00:00.000000 +02:00
533,2019-09-27 20:00:00.000000 +02:00
